YEAR            MONTH        DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.7489     92.0000     50.0000     21.6406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0135      0.2455
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5314     -1.7489     93.0000     50.0000     21.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0062      0.2934
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5114     -1.7489     94.0000     50.0000     20.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9164      0.2747
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5714     -1.7689     91.0000     51.0000     21.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9296      0.2872
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.7689     92.0000     51.0000     20.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8968      0.2886
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5314     -1.7689     93.0000     51.0000     21.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9895      0.2511
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5714     -1.7889     91.0000     52.0000     20.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8426      0.2263
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.7889     92.0000     52.0000     20.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8050      0.2213
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5314     -1.7289     93.0000     49.0000     20.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9164      0.2081
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5114     -1.7289     94.0000     49.0000     21.5781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0038      0.2150
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.4914     -1.7289     95.0000     49.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.1923
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5514     -1.7489     92.0000     50.0000     21.9062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0557      0.2369
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5314     -1.7489     93.0000     50.0000     21.9531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0633      0.2335
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5114     -1.7489     94.0000     50.0000     20.6875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8755      0.2014
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5714     -1.7689     91.0000     51.0000     22.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1075      0.2412
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5514     -1.7689     92.0000     51.0000     23.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2637      0.2666
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5314     -1.7689     93.0000     51.0000     22.3750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1344      0.2625
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5714     -1.7889     91.0000     52.0000     22.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0787      0.1878
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5514     -1.7889     92.0000     52.0000     21.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0014      0.2029
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5314     -1.7889     93.0000     52.0000     22.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0891      0.2752
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5114     -1.7889     94.0000     52.0000     21.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9777      0.2468
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.4914     -1.7889     95.0000     52.0000     20.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8487      0.2265
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.4714     -1.7889     96.0000     52.0000     20.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8128      0.2164
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5514     -1.8089     92.0000     53.0000     21.3906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9753      0.1989
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5314     -1.8089     93.0000     53.0000     24.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.2163      0.3087
2014.0000      2.0000      1.0000      0.0000     24.0000      1.0000    -60.5114     -1.8089     94.0000     53.0000     24.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.3503      0.3166
